,key_original_file,isEmpty,has_zeros,has_duplicates,is_sorted,contains_even_numbers,contains_odd_numbers,contains_integers,contains_floats,more_positive_or_negative,weigth_of_list,vs,vs_str
0,0,False,True,True,False,True,True,True,False,n,wn,error,error
1,1,False,False,False,False,True,True,True,False,e,wn,error,error
2,2,False,True,True,False,True,True,True,False,n,wn,error,error
3,3,False,False,False,False,False,True,True,False,e,wn,error,error
4,4,False,False,False,False,True,False,True,False,e,wn,error,error
5,5,False,False,False,True,True,False,True,False,n,wn,error,error
6,6,False,False,False,False,True,True,True,False,p,wp,error,error
7,7,False,False,False,False,True,True,True,False,n,wn,error,error
8,8,False,False,True,False,True,True,True,False,n,wn,error,error
9,9,False,False,False,False,True,True,True,False,n,wn,error,error
10,10,False,False,False,True,False,True,True,False,n,wn,error,error
11,11,False,True,True,False,True,False,True,False,e,wp,error,error
12,12,False,False,False,False,True,True,True,False,n,wn,error,error
13,13,False,False,True,False,True,True,True,False,n,wn,error,error
14,14,False,False,True,False,True,True,True,False,n,wn,error,error
15,15,True,NA,NA,NA,NA,NA,NA,NA,NA,we,error,error
16,16,False,False,False,False,True,True,True,False,n,wn,error,error
17,17,False,False,False,False,True,True,True,False,n,wn,error,error
18,18,False,False,True,False,True,True,True,False,n,wn,error,error
19,19,False,False,True,False,True,True,True,False,n,wn,error,error
20,20,False,True,False,False,True,True,True,False,n,wp,error,error
21,21,False,True,True,False,True,True,True,False,n,wn,error,error
22,22,False,True,False,False,True,True,True,False,e,wn,error,error
23,23,False,False,True,False,True,True,True,False,p,wp,error,error
24,24,False,False,True,False,True,True,True,False,p,wp,error,error
25,25,False,False,True,False,True,True,True,False,p,wp,error,error
26,26,False,True,False,False,True,True,True,False,p,wp,error,error
27,27,False,False,False,False,True,True,True,False,n,wn,error,error
28,28,False,False,False,False,False,True,True,False,n,wn,error,error
29,29,False,True,True,False,True,True,True,False,e,wn,error,error
30,30,False,False,False,False,True,True,True,False,p,wp,0,No-violate
31,31,False,False,True,False,True,True,True,False,n,wn,error,error
32,32,False,False,False,False,True,True,True,False,n,wn,error,error
33,33,False,False,False,False,True,True,True,False,e,wp,error,error
34,34,False,False,True,False,True,True,True,False,p,wp,error,error
35,35,False,False,False,False,True,True,True,False,e,wn,error,error
36,36,False,True,True,False,True,True,True,False,n,wn,error,error
37,37,False,False,True,False,True,True,True,False,p,wp,error,error
38,38,False,False,False,False,True,True,True,False,n,wn,error,error
