antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
['has_zeros_True'],['vs_str_No-violate'],0.38095238095238093,0.9761904761904762,0.38095238095238093,1.0,1.024390243902439,0.00907029478458049,inf,0.03846153846153842
['has_duplicates_True'],['vs_str_No-violate'],0.38095238095238093,0.9761904761904762,0.38095238095238093,1.0,1.024390243902439,0.00907029478458049,inf,0.03846153846153842
['is_sorted_True'],['vs_str_No-violate'],0.30952380952380953,0.9761904761904762,0.30952380952380953,1.0,1.024390243902439,0.007369614512471645,inf,0.034482758620689606
['more_positive_or_negative_e'],['vs_str_No-violate'],0.3333333333333333,0.9761904761904762,0.3333333333333333,1.0,1.024390243902439,0.007936507936507964,inf,0.03571428571428584
['more_positive_or_negative_n'],['vs_str_No-violate'],0.3333333333333333,0.9761904761904762,0.3333333333333333,1.0,1.024390243902439,0.007936507936507964,inf,0.03571428571428584
['more_positive_or_negative_p'],['vs_str_No-violate'],0.30952380952380953,0.9761904761904762,0.30952380952380953,1.0,1.024390243902439,0.007369614512471645,inf,0.034482758620689606
['weigth_of_list_wn'],['vs_str_No-violate'],0.38095238095238093,0.9761904761904762,0.38095238095238093,1.0,1.024390243902439,0.00907029478458049,inf,0.03846153846153842
['weigth_of_list_wp'],['vs_str_No-violate'],0.42857142857142855,0.9761904761904762,0.42857142857142855,1.0,1.024390243902439,0.010204081632653073,inf,0.04166666666666672
"['has_zeros_True', 'has_duplicates_True']",['vs_str_No-violate'],0.14285714285714285,0.9761904761904762,0.14285714285714285,1.0,1.024390243902439,0.003401360544217691,inf,0.02777777777777781
"['has_zeros_True', 'more_positive_or_negative_e']",['vs_str_No-violate'],0.14285714285714285,0.9761904761904762,0.14285714285714285,1.0,1.024390243902439,0.003401360544217691,inf,0.02777777777777781
"['has_zeros_True', 'more_positive_or_negative_n']",['vs_str_No-violate'],0.11904761904761904,0.9761904761904762,0.11904761904761904,1.0,1.024390243902439,0.0028344671201814137,inf,0.0270270270270271
"['has_zeros_True', 'more_positive_or_negative_p']",['vs_str_No-violate'],0.11904761904761904,0.9761904761904762,0.11904761904761904,1.0,1.024390243902439,0.0028344671201814137,inf,0.0270270270270271
"['has_zeros_True', 'weigth_of_list_wp']",['vs_str_No-violate'],0.19047619047619047,0.9761904761904762,0.19047619047619047,1.0,1.024390243902439,0.004535147392290245,inf,0.029411764705882325
"['has_duplicates_True', 'more_positive_or_negative_n']",['vs_str_No-violate'],0.14285714285714285,0.9761904761904762,0.14285714285714285,1.0,1.024390243902439,0.003401360544217691,inf,0.02777777777777781
"['has_duplicates_True', 'more_positive_or_negative_p']",['vs_str_No-violate'],0.14285714285714285,0.9761904761904762,0.14285714285714285,1.0,1.024390243902439,0.003401360544217691,inf,0.02777777777777781
"['has_duplicates_True', 'weigth_of_list_wp']",['vs_str_No-violate'],0.16666666666666666,0.9761904761904762,0.16666666666666666,1.0,1.024390243902439,0.003968253968253982,inf,0.028571428571428668
"['more_positive_or_negative_e', 'is_sorted_True']",['vs_str_No-violate'],0.11904761904761904,0.9761904761904762,0.11904761904761904,1.0,1.024390243902439,0.0028344671201814137,inf,0.0270270270270271
"['more_positive_or_negative_n', 'is_sorted_True']",['vs_str_No-violate'],0.11904761904761904,0.9761904761904762,0.11904761904761904,1.0,1.024390243902439,0.0028344671201814137,inf,0.0270270270270271
"['weigth_of_list_wp', 'is_sorted_True']",['vs_str_No-violate'],0.14285714285714285,0.9761904761904762,0.14285714285714285,1.0,1.024390243902439,0.003401360544217691,inf,0.02777777777777781
"['more_positive_or_negative_e', 'weigth_of_list_wp']",['vs_str_No-violate'],0.14285714285714285,0.9761904761904762,0.14285714285714285,1.0,1.024390243902439,0.003401360544217691,inf,0.02777777777777781
"['more_positive_or_negative_n', 'weigth_of_list_wp']",['vs_str_No-violate'],0.11904761904761904,0.9761904761904762,0.11904761904761904,1.0,1.024390243902439,0.0028344671201814137,inf,0.0270270270270271
"['weigth_of_list_wp', 'more_positive_or_negative_p']",['vs_str_No-violate'],0.16666666666666666,0.9761904761904762,0.16666666666666666,1.0,1.024390243902439,0.003968253968253982,inf,0.028571428571428668
